ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,DataSource,SortOrder,Sector,TimeValue,BookValue,TaxEquivalentBookYield,PreTaxBookYield,AfterTaxBookYield,PercentTotalBookValue,ParValue,OverweightUnderWeightValue,Rating,Value
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",39,"Industrial","2020-06-30",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",40,"Utility","2020-06-30",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",41,"Finance","2020-06-30",,,,,,,3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",42,"Securitized","2020-06-30",,,,,,,13,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",43,"Treasury","2020-07-31",,,,,,,-10,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",44,"Gov","2020-07-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",45,"Industrial","2020-07-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",46,"Utility","2020-07-31",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",47,"Finance","2020-07-31",,,,,,,3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",48,"Securitized","2020-07-31",,,,,,,13,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",49,"Treasury","2020-08-31",,,,,,,-11,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",50,"Gov","2020-08-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",51,"Industrial","2020-08-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",52,"Utility","2020-08-31",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",53,"Finance","2020-08-31",,,,,,,4,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",54,"Securitized","2020-08-31",,,,,,,14,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",55,"Treasury","2020-09-30",,,,,,,-11,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",56,"Gov","2020-09-30",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",57,"Industrial","2020-09-30",,,,,,,-4,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",58,"Utility","2020-09-30",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",59,"Finance","2020-09-30",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",60,"Securitized","2020-09-30",,,,,,,13,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",61,"Treasury","2020-10-31",,,,,,,-10,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",62,"Gov","2020-10-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",63,"Industrial","2020-10-31",,,,,,,-4,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",64,"Utility","2020-10-31",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",65,"Finance","2020-10-31",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",66,"Securitized","2020-10-31",,,,,,,13,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",67,"Treasury","2020-11-30",,,,,,,-10,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",68,"Gov","2020-11-30",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",69,"Industrial","2020-11-30",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",70,"Utility","2020-11-30",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",71,"Finance","2020-11-30",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",72,"Securitized","2020-11-30",,,,,,,12,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",73,"Treasury","2020-12-31",,,,,,,-10,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",74,"Gov","2020-12-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",75,"Industrial","2020-12-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",76,"Utility","2020-12-31",,,,,,,2,,
