ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR109670","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.41,0.92,8.56,5.04,8.57,3.73,3.52,1.39,5.07,6.6,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.41,0.92,8.56,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.44,1.01,8.03,5.36,9.26,4.12,3.91,1.95,5.5,7.46,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.44,1.01,8.03,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.38,0.96,8.38,4.67,8.64,3.89,3.4,1.27,5.13,6.69,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.38,0.96,8.38,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.14,0.69,17.79,-1.65,13.62,2.8,2.28,-6.11,3.65,5.52,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.14,0.69,17.79,-3.39,13.88,2.5,1.68,-6.96,3.12,4.51,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.28,0.57,16.25,-3.34,12.63,2.3,2.11,-5.89,3.46,5.11,,,,,,,,,,,,,"16.248220813486224","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.28,0.57,16.25,-3.29,14.46,3.73,2.66,-5.76,4.09,5.46,,,,,,,,,,,,,"16.248220813486224","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.08,0.59,7.65,0.91,5.93,2.36,1.56,-0.84,2.48,3.24,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.08,0.59,7.65,0.91,5.93,2.36,1.56,-0.84,2.48,3.24,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.42,1.06,8.56,5.16,9.23,4.32,3.91,2.02,5.68,7.6,,,,,,,,,,,,,"8.558449648121647","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.42,1.06,8.56,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.558449648121647","2021-01-01",,,,,,,
"USTR117383","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.34,0.87,8.47,4.21,8.14,3.51,3.29,1.13,5.08,6.78,,,,,,,,,,,,,"8.473459037743458","2021-01-01",,,,,,,
"USTR117383","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.34,0.87,8.47,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.473459037743458","2021-01-01",,,,,,,
"USTR118454","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.11,0.98,14.45,-1.35,12.38,3.97,3.24,-3.24,4.57,6.55,,,,,,,,,,,,,"14.453322668211577","2021-01-01",,,,,,,
"USTR118454","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.11,0.98,14.45,-1.4,13.8,5.02,3.5,-3.4,4.71,6.06,,,,,,,,,,,,,"14.453322668211577","2021-01-01",,,,,,,
"USTR118704","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.54,1.18,3.49,6.66,6.34,4.79,4.57,5.33,6.29,8.78,,,,,,,,,,,,,"3.487503199253017","2021-01-01",,,,,,,
"USTR118704","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.54,1.18,3.49,1.1,1.15,0.84,0.65,0.61,0.88,1.11,,,,,,,,,,,,,"3.487503199253017","2021-01-01",,,,,,,
"USTR119230","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.11,0.91,16.42,-1.26,13.49,3.68,3.01,-4.41,4.28,6.01,,,,,,,,,,,,,"16.417599314971774","2021-01-01",,,,,,,
"USTR119230","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.11,0.91,16.42,-2.27,13.43,3.44,2.34,-5.3,3.69,5.05,,,,,,,,,,,,,"16.417599314971774","2021-01-01",,,,,,,
"USTR124648","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.16,0.27,7.95,1.92,5.73,1.07,1.16,-1.06,2.23,3.19,,,,,,,,,,,,,"7.954663630088588","2021-01-01",,,,,,,
"USTR124648","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.16,0.27,7.95,0.32,3.85,0.41,0.29,-1.61,0.95,1.39,,,,,,,,,,,,,"7.954663630088588","2021-01-01",,,,,,,
"USTR125580","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.25,0.79,15.09,-2.92,13.98,3.19,2.18,-6.1,3.5,4.89,,,,,,,,,,,,,"15.090581813946159","2021-01-01",,,,,,,
"USTR125580","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.25,0.79,15.09,-2.92,13.98,3.19,2.18,-6.1,3.5,4.89,,,,,,,,,,,,,"15.090581813946159","2021-01-01",,,,,,,
"USTR125587","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.1,1.26,13.11,1.2,13.71,5.13,4,-2.36,5.02,6.54,,,,,,,,,,,,,"13.112566214961685","2021-01-01",,,,,,,
"USTR125587","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.1,1.26,13.11,-1.08,12.47,4.2,2.87,-3.46,4.14,5.43,,,,,,,,,,,,,"13.112566214961685","2021-01-01",,,,,,,
"USTR126261","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.04,1.1,12.23,0.42,11.97,4.45,3.29,-2.17,4.41,5.98,,,,,,,,,,,,,"12.233902160374788","2021-01-01",,,,,,,
"USTR126261","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.04,1.1,12.23,-0.5,12.46,5.04,3.48,-2.27,4.56,5.83,,,,,,,,,,,,,"12.233902160374788","2021-01-01",,,,,,,
"USTR126950","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.06,0.94,13.82,-0.71,11.35,3.82,2.77,-3.26,4.56,6.52,,,,,,,,,,,,,"13.81708924100935","2021-01-01",,,,,,,
"USTR126950","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.06,0.94,13.82,-1.05,12.4,4,2.71,-3.65,4.09,5.42,,,,,,,,,,,,,"13.81708924100935","2021-01-01",,,,,,,
"USTR126967","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.51,1.19,4.2,6.34,5.88,4.84,4.57,5.06,6.32,8.36,,,,,,,,,,,,,"4.202709997653531","2021-01-01",,,,,,,
"USTR126967","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.51,1.19,4.2,1.1,1.15,0.84,0.65,0.61,0.88,1.11,,,,,,,,,,,,,"4.202709997653531","2021-01-01",,,,,,,
"USTR127319","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.42,0.94,5.19,5.13,8.85,3.82,3.55,1.57,5.09,6.39,,,,,,,,,,,,,"5.1892701895621896","2021-01-01",,,,,,,
"USTR127319","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.42,0.94,5.19,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"5.1892701895621896","2021-01-01",,,,,,,
"USTR127450","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.59,1.36,4.63,7.36,7.19,5.57,5.27,5.98,7.64,10.58,,,,,,,,,,,,,"4.629304760068509","2021-01-01",,,,,,,
"USTR127450","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.59,1.36,4.63,1.1,1.15,0.84,0.65,0.61,0.88,1.11,,,,,,,,,,,,,"4.629304760068509","2021-01-01",,,,,,,
"USTR1294","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.25,1.01,8.59,3,10.83,4.09,2.72,-0.82,3.89,5.62,,,,,,,,,,,,,"8.589344506842655","2021-01-01",,,,,,,
"USTR1294","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.25,1.01,8.59,1.08,8.89,3.32,2.33,-0.94,3.24,4.31,,,,,,,,,,,,,"8.589344506842655","2021-01-01",,,,,,,
"USTR129577","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.07,1.17,14.87,-0.82,13.2,4.78,3.88,-2.7,5.09,6.96,,,,,,,,,,,,,"14.872821598984265","2021-01-01",,,,,,,
"USTR129577","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.07,1.17,14.87,-1.54,13.52,4.76,3.32,-3.55,4.49,5.81,,,,,,,,,,,,,"14.872821598984265","2021-01-01",,,,,,,
"USTR130625","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.26,0.44,16.14,-3.07,12.22,1.79,1.46,-6.3,3.25,4.86,,,,,,,,,,,,,"16.140911894686806","2021-01-01",,,,,,,
"USTR130625","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.26,0.44,16.14,-2.99,13.03,2.26,1.48,-6.63,2.95,4.31,,,,,,,,,,,,,"16.140911894686806","2021-01-01",,,,,,,
"USTR132672","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.39,0.96,8.36,4.83,8.72,3.9,3.49,1.32,5.29,6.9,,,,,,,,,,,,,"8.359038192279522","2021-01-01",,,,,,,
"USTR132672","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.39,0.96,8.36,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.359038192279522","2021-01-01",,,,,,,
"USTR132835","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.23,1.59,9.79,2.77,12.88,6.52,5.07,0.46,5.88,7.76,,,,,,,,,,,,,"9.79218902080099","2021-01-01",,,,,,,
"USTR132835","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.23,1.59,9.79,0.76,10.02,4.57,3.12,-0.89,4.26,5.36,,,,,,,,,,,,,"9.79218902080099","2021-01-01",,,,,,,
"USTR134322","2020-12-31","N","USTR",1,,,"N",,"Total Return",1.4,2.25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR134322","2020-12-31","N","USTR",2,,,"Y",,"Total Return",1.4,2.25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR135460","2020-12-31","N","USTR",1,,,"N",,"Total Return",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR135460","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR137996","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.17,0.76,14.63,-2.05,12.77,3.07,2.47,-4.94,3.77,5.52,,,,,,,,,,,,,"14.633259900037698","2021-01-01",,,,,,,
"USTR137996","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.17,0.76,14.63,-2.28,13.33,3.38,2.3,-5.3,3.64,5.01,,,,,,,,,,,,,"14.633259900037698","2021-01-01",,,,,,,
"USTR138014","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.37,0.8,9.09,4.59,7.95,3.24,3.05,0.75,4.5,6.28,,,,,,,,,,,,,"9.088583077502799","2021-01-01",,,,,,,
"USTR138014","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.37,0.8,9.09,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"9.088583077502799","2021-01-01",,,,,,,
"USTR140702","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.09,0.98,12.5,-1.04,12.57,3.96,2.88,-4.06,3.95,5.37,,,,,,,,,,,,,"12.499631528916222","2021-01-01",,,,,,,
"USTR140702","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.09,0.98,12.5,-1.6,12.47,3.59,2.44,-4.31,3.75,5.05,,,,,,,,,,,,,"12.499631528916222","2021-01-01",,,,,,,
"USTR140989","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.22,1.58,10.66,2.64,13.12,6.47,4.95,-0.03,5.67,7.46,,,,,,,,,,,,,"10.662964209962599","2021-01-01",,,,,,,
"USTR140989","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.22,1.58,10.66,0.48,10.79,4.76,3.25,-1.26,4.42,5.59,,,,,,,,,,,,,"10.662964209962599","2021-01-01",,,,,,,
"USTR1410","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.43,0.89,6.07,5.27,6.81,3.61,3.02,2.41,3.8,5.31,,,,,,,,,,,,,"6.065712669826051","2021-01-01",,,,,,,
