ProductID,ProductName,LineofBusinessCode,AdhocFlag
"USTR113205","NFPPA_CHPIPE","USTR","N"
"USTR117075","PAINTHB","USTR","N"
"USTR117383","CBIS","USTR","N"
"USTR117740","SLGIPLUS","USTR","N"
"USTR117889","GTSAL","USTR","N"
"USTR118454","VMC","USTR","N"
"USTR118704","ADSHORT","USTR","N"
"USTR119230","WILLIAMS","USTR","N"
"USTR119248","CWROLLED","USTR","N"
"USTR119954","FC-MOCKP","USTR","N"
"USTR124648","STJCAP","USTR","N"
"USTR125238","RLS6LD","USTR","N"
"USTR125580","NFPPA_SLFNET","USTR","N"
"USTR125587","OXBOW","USTR","N"
"USTR126950","LOWSAND","USTR","N"
"USTR126967","ICONF","USTR","N"
"USTR127319","SLGIMRGE","USTR","N"
"USTR129577","ISONEW","USTR","N"
"USTR130625","STJOSEPH","USTR","N"
"USTR130951","ENGLWOOD","USTR","N"
"USTR131991","SLHY","USTR","N"
"USTR132835","PILKHOUR","USTR","N"
"USTR132853","SJMEDPEN","USTR","N"
"USTR133423","LOW_DUR_MKT","USTR","N"
"USTR134322","SDOPPS","USTR","N"
"USTR137996","SLUKE","USTR","N"
"USTR140702","GROCERS","USTR","N"
"USTR140989","PILKSAL","USTR","N"
"USTR141082","LONZA","USTR","N"
"USTR141116","POWVEBA","USTR","N"
"USTR142736","SONSHORT","USTR","N"
"USTR143502","STAMFORD","USTR","N"
"USTR143755","YRC-PBO","USTR","N"
"USTR143952","LAWPEN","USTR","N"
"USTR144831","SLCLC","USTR","N"
"USTR145021","GEAP","USTR","N"
"USTR146479","MGNITE","USTR","N"
"USTR147439","SDMERGED ","USTR","N"
"USTR149130","RLS6GC13","USTR","N"
"USTR150269","MACWAG","USTR","N"
"USTR151582","SHOPMENS","USTR","N"
"USTR153582","SIT-TIPS","USTR","N"
"USTR153969","PUHY","USTR","N"
"USTR155107","LAWSERP","USTR","N"
"USTR156065","SLFSERIES2","USTR","N"
"USTR157992","PANSHORT","USTR","N"
"USTR158521","TOTALASSETS","USTR","N"
"USTR158590","BCH-ALL","USTR","N"
"USTR160538","NFPPA_CRP","USTR","N"
"USTR163754","SITFO","USTR","N"
"USTR164848","NFPPA_NFH","USTR","N"
"USTR165304","NFPPA_WASH","USTR","N"
"USTR165715","IOOF","USTR","N"
"USTR167836","UVCHAMP","USTR","N"
"USTR168325","SLCTALF","USTR","N"
"USTR168832","UAMPEN","USTR","N"
"USTR169490","PTG-PBO","USTR","N"
"USTR170000","GONNELLA","USTR","N"
"USTR170390","BCH_NT_RI_ES","USTR","N"
"USTR170842","IRON_MERGE","USTR","N"
"USTR170869","HIERS","USTR","N"
"USTR173634","GMASON","USTR","N"
"USTR174934","NFPPA_ABC","USTR","N"
"USTR175262","SUNLIFE_MERGE","USTR","N"
"USTR175634","RLS6BILL","USTR","N"
"USTR175835","IDBF","USTR","N"
"USTR175895","HI-TIPS","USTR","N"
"USTR176020","SLAGGDRP","USTR","N"
"USTR177901","CLOPAY","USTR","N"
"USTR179174","BOYCE","USTR","N"
"USTR179779","GTSERV","USTR","N"
"USTR180578","HENPEN","USTR","N"
"USTR183226","HUHT","USTR","N"
"USTR184737","MACOPPS","USTR","N"
"USTR185833","PAINTPEN","USTR","N"
"USTR186734","DELTA","USTR","N"
"USTR187032","GTUNION","USTR","N"
"USTR187714","12YRCFM","USTR","N"
"USTR187783","INPO","USTR","N"
"USTR189043","SLTSYDRP","USTR","N"
"USTR191654","IUPAT","USTR","N"
"USTR193244","BCH-ES","USTR","N"
"USTR194424","NUGGET","USTR","N"
"USTR194857","SIGBURG","USTR","N"
"USTR194888","SDCERA","USTR","N"
"USTR196107","CWF","USTR","N"
"USTR196275","BEHR","USTR","N"
"USTR196617","USAVBA","USTR","N"
"USTR197083","WAYNE","USTR","N"
"USTR197597","IGEN","USTR","N"
"USTR199595","NFPPA_NFA","USTR","N"
"USTR199706","NEWCAST","USTR","N"
