ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR127450","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.1589841768692732",
"USTR1294","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.2676350290085328",
"USTR1294","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","7.986014609101938",
"USTR129577","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7250311136993395",
"USTR129577","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.370006019751829",
"USTR130625","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7181785746548706",
"USTR130625","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","13.90680071807245",
"USTR132672","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7621045485571356",
"USTR132672","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","6.709211782916368",
"USTR132835","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5877684257176794",
"USTR132835","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","7.983326240965779",
"USTR134322","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","3.9078757826980177",
"USTR134322","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","4.292115709326674",
"USTR137996","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7461656739013525",
"USTR137996","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","12.934238281034544",
"USTR138014","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5530317067360113",
"USTR138014","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","6.549203705981177",
"USTR140702","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5743077331719157",
"USTR140702","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.57858977262938",
"USTR140989","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5975993712727212",
"USTR140989","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","8.434507852639964",
"USTR1410","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","0.9602539704142088",
"USTR1410","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","4.466173241634357",
"USTR141082","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7636956538340625",
"USTR141082","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","12.000842937058309",
"USTR141116","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7156988408741949",
"USTR141116","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","13.04103670423693",
"USTR142736","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.852273995470295",
