ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR186734","USTR250","USTR","N",1
"USTR186734","USTR250","USTR","N",2
"USTR187783","USTR293","USTR","N",1
"USTR187783","USTR293","USTR","N",2
"USTR189043","USTR209","USTR","N",1
"USTR189043","USTR209","USTR","N",2
"USTR191654","USTR228","USTR","N",1
"USTR191654","USTR228","USTR","N",2
"USTR193244","USTR182","USTR","N",1
"USTR193244","USTR182","USTR","N",2
"USTR194424","USTR219","USTR","N",1
"USTR194424","USTR219","USTR","N",2
"USTR194767","USTR191","USTR","N",1
"USTR194767","USTR191","USTR","N",2
"USTR194857","USTR269","USTR","N",1
"USTR194857","USTR269","USTR","N",2
"USTR194888","USTR183","USTR","N",1
"USTR194888","USTR183","USTR","N",2
"USTR196107","USTR265","USTR","N",1
"USTR196107","USTR265","USTR","N",2
"USTR196617","USTR258","USTR","N",1
"USTR196617","USTR258","USTR","N",2
"USTR197083","USTR217","USTR","N",1
"USTR197083","USTR217","USTR","N",2
"USTR197597","USTR234","USTR","N",1
"USTR197597","USTR234","USTR","N",2
"USTR199595","USTR235","USTR","N",1
"USTR199595","USTR235","USTR","N",2
"USTR199706","USTR179","USTR","N",1
"USTR199706","USTR179","USTR","N",2
