ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2020-12-31","N","USTR",1,,,"N",,,0,1.2,13.51,,-0.01,13.38,4.89,3.9,-2.46,5.14,,,,,,,,,,,,,"13.505907955556506","2021-01-01",,,,,,,
"USTR10001","2020-12-31","N","USTR",2,,,"Y",,,-0.11,1.23,12.89,,0,0,0,0,0,0,,,,,,,,,,,,,"12.885373679547008","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",1,,,"N",,,-0.05,1.14,11.77,,-0.56,12.97,4.62,3.88,-2.74,4.26,,,,,,,,,,,,,"11.76533269716391","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",2,,,"Y",,,-0.1,1,11.85,,0,0,0,0,0,0,,,,,,,,,,,,,"11.848005518384074","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",1,,,"N",,,-0.01,1.38,14.51,,-0.17,15.16,5.63,4.25,-3.05,5.33,,,,,,,,,,,,,"14.511354733929927","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",2,,,"Y",,,-0.17,1.23,13.82,,0,0,0,0,0,0,,,,,,,,,,,,,"13.822864435170047","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",1,,,"N",,,-0.01,1.29,11.99,,-0.07,12.12,5.28,4.03,-1.68,4.92,,,,,,,,,,,,,"11.987180301862965","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",2,,,"Y",,,0,1.27,11.46,,0,0,0,0,0,0,,,,,,,,,,,,,"11.45793732553184","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",1,,,"N",,,1.47,5.87,1.71,,19.11,35.72,25.63,15.17,15.41,20.69,,,,,,,,,,,,,"1.7136247048697317","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",2,,,"Y",,,1.88,6.45,7.11,,0,0,0,0,0,0,,,,,,,,,,,,,"7.11374687","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",1,,,"N",,,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",2,,,"Y",,,0.05,0.05,3.16,,0,0,0,0,0,0,,,,,,,,,,,,,"3.15971168","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",1,,,"N",,,0.16,1.49,9.73,,1.92,11.79,6.11,4.53,0.51,5.81,,,,,,,,,,,,,"9.73248603826693","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",2,,,"Y",,,0.05,1.07,9.65,,0.58,9.47,4.33,2.98,-0.87,4.14,,,,,,,,,,,,,"9.651441937057914","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",1,,,"N",,,0.5,0.97,5.83,,6.13,7.55,3.93,3.45,2.84,4.25,,,,,,,,,,,,,"5.833519842484325","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",2,,,"Y",,,0.21,0.48,6.43,,0,0,0,0,0,0,,,,,,,,,,,,,"6.43404147","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",1,,,"N",,,-1.14,-2.96,17.89,,-12.88,0.28,-11.33,-7.13,-15.12,-5.15,,,,,,,,,,,,,"17.886075766487043","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",2,,,"Y",,,-1.18,-3,17.7,,0,0,0,0,0,0,,,,,,,,,,,,,"17.70291533","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",1,,,"N",,,1.57,6.06,2.73,,20.54,37.85,26.53,15.89,14.95,21.86,,,,,,,,,,,,,"2.732532947217292","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",2,,,"Y",,,1.88,6.45,7.11,,0,0,0,0,0,0,,,,,,,,,,,,,"7.11374687","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",1,,,"N",,,-1.07,-2.83,17.52,,-12.15,0.68,-10.84,-7.12,-15.01,-5.24,,,,,,,,,,,,,"17.516133141350608","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",2,,,"Y",,,-1.16,-2.95,17.55,,0,0,0,0,0,0,,,,,,,,,,,,,"17.55212684","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",1,,,"N",,,0.41,0.92,8.56,,5.04,8.57,3.73,3.52,1.39,5.07,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",1,,,"N",,,0.44,1.01,8.03,,5.36,9.26,4.12,3.91,1.95,5.5,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",1,,,"N",,,0.38,0.96,8.38,,4.67,8.64,3.89,3.4,1.27,5.13,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",1,,,"N",,,-0.14,0.69,17.79,,-1.65,13.62,2.8,2.28,-6.11,3.65,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",2,,,"Y",,,-0.29,0.62,15.96,,0,0,0,0,0,0,,,,,,,,,,,,,"15.956659819042397","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",1,,,"N",,,-0.28,0.57,16.25,,-3.34,12.63,2.3,2.11,-5.89,3.46,,,,,,,,,,,,,"16.248220813486224","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",2,,,"Y",,,-0.28,0.92,15.68,,0,0,0,0,0,0,,,,,,,,,,,,,"15.684033043131018","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",1,,,"N",,,0.08,0.59,7.65,,0.91,5.93,2.36,1.56,-0.84,2.48,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",2,,,"Y",,,0.08,0.59,7.65,,0.91,5.93,2.36,1.56,-0.84,2.48,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",1,,,"N",,,0.42,1.06,8.56,,5.16,9.23,4.32,3.91,2.02,5.68,,,,,,,,,,,,,"8.558449648121647","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
