ProductID, PeriodDate, AdhocFlag, LineofBusinessCode, SortOrder, EquityFlag, TaxType, BenchmarkFlag, PerformanceType, Description, MTD, QTD, YTD, PriorYear, PriorTwoYear, PriorThreeYear, PriorFourYear, PriorFiveYear, PriorSevenYear, PriorTenYear, CYPriorYear, CYPriorTwoYear, CYPriorThreeYear, CYPriorFourYear, CYPriorFiveYear, CYPriorSixYear, CYPriorSevenYear, CYPriorEightYear, CYPriorNineYear, CYPriorTenYear, CYPriorElevenYear, CYPriorTwelveYear, SinceInceptionReturn, InceptionDate, ValueAdded, Risk, TrackingError, InfoRatio, PriorThreeMonth, PriorSixMonth, PriorNineMonth, CurrentQuarter, 
"USTR11000", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR111505", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR111505", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR111970", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR111970", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR113705", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR113705", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR114638", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR114638", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR117075", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR117075", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR117383", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
