ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR10001","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10001","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10001","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.691,1.582
"USTR10001","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",192,11790
"USTR10001","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","ONeal Steel PBO RL PPA Investable Benchmark",""
"USTR10001","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10001","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark"
"USTR10001","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10001","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",11.028,11.236
"USTR10001","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value",3.622,9.644
"USTR10001","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date","May 31 2015 12:00AM",""
"USTR10001","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10001","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.806,2.825
"USTR10001","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.093,2.122
"USTR10001","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",6.722,6.672
"USTR10001","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-4.736,-4.935
"USTR10001","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",6.098,5.92
"USTR10001","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.989,""
"USTR10001","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",96.394,""
"USTR10001","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",98.181,""
"USTR10001","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",54.789,""
"USTR10001","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",50.746,""
"USTR10001","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",9.785,""
"USTR10001","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",99.957,100
"USTR10001","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",6.569,6.399
"USTR10001","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",55.003,53.643
"USTR10001","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",42.651,41.388
"USTR10001","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",49.254,""
"USTR10001","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",12.844,""
"USTR10001","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",101.787,100
"USTR10001","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",0.805,0.786
"USTR10001","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",0.31,""
"USTR10001","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",20.698,16.255
"USTR10001","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",11.696,21.995
"USTR10001","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",50.139,61.75
"USTR10001","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",16.63,0
"USTR10001","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10001","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
"USTR10001","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0,0
"USTR10001","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0,0
"USTR10001","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0,0
"USTR10001","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0,0
"USTR10001","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0,0
"USTR10001","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",0.565,0.669
"USTR10001","2020-12-31","N","USTR",2,"USTRCMaturityExposure","1-3",12.81,12.847
"USTR10001","2020-12-31","N","USTR",3,"USTRCMaturityExposure","3-5",11.704,10.022
"USTR10001","2020-12-31","N","USTR",4,"USTRCMaturityExposure","5-7",12.695,9.293
"USTR10001","2020-12-31","N","USTR",5,"USTRCMaturityExposure","7-10",15.09,13.361
"USTR10001","2020-12-31","N","USTR",6,"USTRCMaturityExposure","10-20",9.777,21.542
"USTR10001","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20,36.522,32.267
"USTR10001","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",18.129,12.217
"USTR10001","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.285,0
"USTR10001","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.392,0.024
"USTR10001","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0,0
"USTR10001","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0,0
"USTR10001","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",31.184,60.972
"USTR10001","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",15.215,12.422
"USTR10001","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",27.138,14.365
"USTR10001","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",1.087,0
"USTR10001","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.351,0
"USTR10001","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",3.382,0
"USTR10001","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0,0
"USTR10001","2020-12-31","N","USTR",13,"USTRSectorAllocation","Other",0,0
"USTR10001","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",0,0
"USTR10002","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10002","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10002","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.67,1.517
"USTR10002","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",194,11790
"USTR10002","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","US Silica Retirement Plan RL PPA Investable Benchmark",""
"USTR10002","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10002","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark"
"USTR10002","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10002","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",11.017,11.079
"USTR10002","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value",4.986,1.601
"USTR10002","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date","Jun 30 2015 12:00AM",""
"USTR10002","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10002","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.862,2.8
"USTR10002","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.122,2.138
"USTR10002","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",5.747,5.678
"USTR10002","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-4.04,-4.035
"USTR10002","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",5.05,4.932
"USTR10002","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.991,""
"USTR10002","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",95.874,""
"USTR10002","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",97.915,""
"USTR10002","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",61.822,""
"USTR10002","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",40.909,""
"USTR10002","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",16.161,""
"USTR10002","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",102.129,100
"USTR10002","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",6.392,6.473
"USTR10002","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",53.117,53.72
"USTR10002","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",40.608,41.195
"USTR10002","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",59.091,""
"USTR10002","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",10.168,""
"USTR10002","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",100.435,100
"USTR10002","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",0.908,0.933
"USTR10002","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",-0.131,""
"USTR10002","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",18.333,17.123
"USTR10002","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",14.871,21.594
"USTR10002","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",51.687,61.282
"USTR10002","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",14.639,0
"USTR10002","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10002","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
"USTR10002","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0,0
"USTR10002","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0,0
"USTR10002","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0,0
"USTR10002","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0,0
"USTR10002","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0.269,0
"USTR10002","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",1.521,0.778
"USTR10002","2020-12-31","N","USTR",2,"USTRCMaturityExposure","1-3",14.734,14.698
"USTR10002","2020-12-31","N","USTR",3,"USTRCMaturityExposure","3-5",11.734,10.806
"USTR10002","2020-12-31","N","USTR",4,"USTRCMaturityExposure","5-7",13.382,9.505
"USTR10002","2020-12-31","N","USTR",5,"USTRCMaturityExposure","7-10",11.44,13.357
"USTR10002","2020-12-31","N","USTR",6,"USTRCMaturityExposure","10-20",10.707,20.413
"USTR10002","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20,36.282,30.443
"USTR10002","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",16.093,13.336
"USTR10002","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.279,0
"USTR10002","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.486,0.025
"USTR10002","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0,0
"USTR10002","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0,0
"USTR10002","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",34.476,60.229
"USTR10002","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",13.509,11.862
"USTR10002","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",28.549,14.549
"USTR10002","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",0.99,0
"USTR10002","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.373,0
"USTR10002","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",2.604,0
"USTR10002","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0,0
"USTR10002","2020-12-31","N","USTR",13,"USTRSectorAllocation","Other",0,0
"USTR10002","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",0.44,0
"USTR10003","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10003","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10003","2020-12-31","N","USTR",3,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10004","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10004","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.847,1.714
"USTR10004","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",162,11790
"USTR10004","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","Knoll Pension Plan ABO 0-30 Yr RLPPA Inv Benchmark ",""
"USTR10004","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10004","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark;+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10004","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",12.446,12.62
"USTR10004","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value",8.003,2.168
"USTR10004","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date","Apr 30 2016 12:00AM",""
"USTR10004","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10004","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.874,2.817
"USTR10004","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.515,2.496
"USTR10004","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.327,7.287
