ProductID,ProductName,LineofBusinessCode,AdhocFlag
"USTR164442","AOC","USTR","N"
"USTR165267","UVMED","USTR","N"
"USTR165715","IOOF","USTR","N"
"USTR167836","UVCHAMP","USTR","N"
"USTR168832","UAMPEN","USTR","N"
"USTR170000","GONNELLA","USTR","N"
"USTR170539","SHARP","USTR","N"
"USTR170869","HIERS","USTR","N"
"USTR173634","GMASON","USTR","N"
"USTR175501","KEYHOUR","USTR","N"
"USTR175835","IDBF","USTR","N"
"USTR175895","HI-TIPS","USTR","N"
"USTR176020","SLAGGDRP","USTR","N"
"USTR177901","CLOPAY","USTR","N"
"USTR179779","GTSERV","USTR","N"
"USTR180578","HENPEN","USTR","N"
"USTR183226","HUHT","USTR","N"
"USTR184737","MACOPPS","USTR","N"
"USTR185833","PAINTPEN","USTR","N"
"USTR186500","MCLANE","USTR","N"
"USTR186734","DELTA","USTR","N"
"USTR187032","GTUNION","USTR","N"
"USTR187783","INPO","USTR","N"
"USTR189043","SLTSYDRP","USTR","N"
"USTR193244","BCH-ES","USTR","N"
"USTR194424","NUGGET","USTR","N"
"USTR194767","PAINTANN","USTR","N"
"USTR194857","SIGBURG","USTR","N"
"USTR194888","SDCERA","USTR","N"
"USTR196107","CWF","USTR","N"
"USTR196617","USAVBA","USTR","N"
"USTR197083","WAYNE","USTR","N"
"USTR197597","IGEN","USTR","N"
