ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR129577","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.93,-8.17,-8.17,-3.45,-1.80,3.34,3.74,3.69,0.00,0.00,,,,,,,,,,,,,2.00,"2016-08-05",,,,,,,
"USTR130625","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.73,-9.46,-9.46,-3.49,-3.56,3.88,4.32,0.00,0.00,0.00,,,,,,,,,,,,,3.15,"2017-12-31",,,,,,,
"USTR130625","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.44,-9.17,-9.17,-3.02,-3.17,3.85,4.10,0.00,0.00,0.00,,,,,,,,,,,,,2.99,"2017-12-31",,,,,,,
"USTR130951","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.87,-7.77,-7.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-18.08,"2021-11-21",,,,,,,
"USTR130951","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.79,-7.56,-7.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-16.81,"2021-11-21",,,,,,,
"USTR131606","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2022-03-23",,,,,,,
"USTR131606","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2022-03-23",,,,,,,
"USTR132672","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.78,-5.92,-5.92,-3.49,0.14,2.49,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3.04,"2019-03-01",,,,,,,
"USTR132672","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,1.69,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.27,"2019-03-01",,,,,,,
"USTR132835","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.43,-6.37,-6.37,-3.51,0.33,2.84,3.42,0.00,0.00,0.00,,,,,,,,,,,,,3.50,"2018-02-28",,,,,,,
"USTR132835","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.33,-6.20,-6.20,-3.51,-0.35,2.86,3.33,0.00,0.00,0.00,,,,,,,,,,,,,3.43,"2018-02-28",,,,,,,
"USTR132853","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-1.21,-2.26,-2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-05-04",,,,,,,
"USTR132853","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.36,-2.49,-2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-05-04",,,,,,,
"USTR134322","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-1.58,-2.12,-2.12,0.68,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,5.63,"2020-04-30",,,,,,,
"USTR134322","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.36,-2.49,-2.49,-2.91,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.05,"2020-04-30",,,,,,,
"USTR137996","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.36,-8.80,-8.80,-3.65,-2.74,3.51,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.86,"2018-12-31",,,,,,,
"USTR137996","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.19,-8.67,-8.67,-3.16,-2.50,3.68,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.94,"2018-12-31",,,,,,,
"USTR138014","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.81,-6.00,-6.00,-3.74,-0.57,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.03,"2020-01-31",,,,,,,
"USTR138014","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.07,"2020-01-31",,,,,,,
"USTR140702","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.91,-8.11,-8.11,-3.23,-1.99,3.01,3.54,3.35,0.00,0.00,,,,,,,,,,,,,2.89,"2016-03-31",,,,,,,
"USTR140702","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.99,-8.12,-8.12,-3.23,-2.03,2.81,3.29,3.18,0.00,0.00,,,,,,,,,,,,,2.64,"2016-03-31",,,,,,,
"USTR140989","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.48,-6.67,-6.67,-3.51,0.03,3.18,3.74,0.00,0.00,0.00,,,,,,,,,,,,,3.86,"2018-02-28",,,,,,,
"USTR140989","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.43,-6.54,-6.54,-3.53,-0.51,3.18,3.59,0.00,0.00,0.00,,,,,,,,,,,,,3.74,"2018-02-28",,,,,,,
"USTR1410","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.45,-4.60,-4.60,-3.75,-0.13,1.62,2.27,2.07,1.87,2.17,,,,,,,,,,,,,3.68,"2007-09-30",,,,,,,
"USTR1410","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.45,-4.51,-4.51,-4.10,-1.09,1.50,2.18,1.81,1.65,1.85,,,,,,,,,,,,,3.32,"2007-09-30",,,,,,,
"USTR141082","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.96,-8.20,-8.20,-3.68,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-4.46,"2020-04-30",,,,,,,
