ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,DataSource,SortOrder,Sector,TimeValue,BookValue,TaxEquivalentBookYield,PreTaxBookYield,AfterTaxBookYield,PercentTotalBookValue,ParValue,OverweightUnderWeightValue,Rating,Value
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",1,"Treasury","2020-04-30",,,,,,,11,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",2,"Gov","2020-04-30",,,,,,,2,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",3,"Industrial","2020-04-30",,,,,,,-28,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",4,"Utility","2020-04-30",,,,,,,1,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",5,"Finance","2020-04-30",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",6,"Securitized","2020-04-30",,,,,,,7,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",7,"Treasury","2020-05-31",,,,,,,11,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",8,"Gov","2020-05-31",,,,,,,2,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",9,"Industrial","2020-05-31",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",10,"Utility","2020-05-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",11,"Finance","2020-05-31",,,,,,,7,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",12,"Securitized","2020-05-31",,,,,,,7,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",13,"Treasury","2020-06-30",,,,,,,8,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",14,"Gov","2020-06-30",,,,,,,2,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",15,"Industrial","2020-06-30",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",16,"Utility","2020-06-30",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",17,"Finance","2020-06-30",,,,,,,9,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",18,"Securitized","2020-06-30",,,,,,,8,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",19,"Treasury","2020-07-31",,,,,,,7,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",20,"Gov","2020-07-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",21,"Industrial","2020-07-31",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",22,"Utility","2020-07-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",23,"Finance","2020-07-31",,,,,,,11,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",24,"Securitized","2020-07-31",,,,,,,5,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",25,"Treasury","2020-08-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",26,"Gov","2020-08-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",27,"Industrial","2020-08-31",,,,,,,-32,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",28,"Utility","2020-08-31",,,,,,,4,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",29,"Finance","2020-08-31",,,,,,,13,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",30,"Securitized","2020-08-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",31,"Treasury","2020-09-30",,,,,,,7,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",32,"Gov","2020-09-30",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",33,"Industrial","2020-09-30",,,,,,,-32,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",34,"Utility","2020-09-30",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",35,"Finance","2020-09-30",,,,,,,13,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",36,"Securitized","2020-09-30",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",37,"Treasury","2020-10-31",,,,,,,5,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",38,"Gov","2020-10-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",39,"Industrial","2020-10-31",,,,,,,-31,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",40,"Utility","2020-10-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",41,"Finance","2020-10-31",,,,,,,13,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",42,"Securitized","2020-10-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",43,"Treasury","2020-11-30",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",44,"Gov","2020-11-30",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",45,"Industrial","2020-11-30",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",46,"Utility","2020-11-30",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",47,"Finance","2020-11-30",,,,,,,13,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",48,"Securitized","2020-11-30",,,,,,,5,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",49,"Treasury","2020-12-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",50,"Gov","2020-12-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",51,"Industrial","2020-12-31",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",52,"Utility","2020-12-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",53,"Finance","2020-12-31",,,,,,,13,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",54,"Securitized","2020-12-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",55,"Treasury","2021-01-31",,,,,,,4,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",56,"Gov","2021-01-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",57,"Industrial","2021-01-31",,,,,,,-28,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",58,"Utility","2021-01-31",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",59,"Finance","2021-01-31",,,,,,,12,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",60,"Securitized","2021-01-31",,,,,,,6,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",61,"Treasury","2021-02-28",,,,,,,5,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",62,"Gov","2021-02-28",,,,,,,3,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",63,"Industrial","2021-02-28",,,,,,,-30,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",64,"Utility","2021-02-28",,,,,,,4,,
"USTR10001","2022-03-31","N","USTR","OverWeightUnderWeightGraph",65,"Finance","2021-02-28",,,,,,,13,,
